294,Rain mixing ratio [kg/kg],70000[Pa] ISBL="Isobaric surface"
295,Snow mixing ratio [kg/kg],70000[Pa] ISBL="Isobaric surface"
296,Graupel (snow pellets) [kg/kg],70000[Pa] ISBL="Isobaric surface"
297,Icing severity [-],70000[Pa] ISBL="Isobaric surface"
298,Ozone Mixing Ratio [kg/kg],70000[Pa] ISBL="Isobaric surface"
299,Geopotential height [gpm],75000[Pa] ISBL="Isobaric surface"
300,Temperature [C],75000[Pa] ISBL="Isobaric surface"
301,Relative humidity [%],75000[Pa] ISBL="Isobaric surface"
302,Total cloud cover [%],75000[Pa] ISBL="Isobaric surface"
303,Vertical velocity (pressure) [Pa/s],75000[Pa] ISBL="Isobaric surface"
304,Verical velocity (geometric) [m/s],75000[Pa] ISBL="Isobaric surface"
305,u-component of wind [m/s],75000[Pa] ISBL="Isobaric surface"
306,v-component of wind [m/s],75000[Pa] ISBL="Isobaric surface"
307,Absolute vorticity [1/s],75000[Pa] ISBL="Isobaric surface"
308,Cloud mixing ratio [kg/kg],75000[Pa] ISBL="Isobaric surface"
309,Ice water mixing ratio [kg/kg],75000[Pa] ISBL="Isobaric surface"
310,Rain mixing ratio [kg/kg],75000[Pa] ISBL="Isobaric surface"
311,Snow mixing ratio [kg/kg],75000[Pa] ISBL="Isobaric surface"
312,Graupel (snow pellets) [kg/kg],75000[Pa] ISBL="Isobaric surface"
313,Icing severity [-],75000[Pa] ISBL="Isobaric surface"
314,Geopotential height [gpm],80000[Pa] ISBL="Isobaric surface"
315,Temperature [C],80000[Pa] ISBL="Isobaric surface"
316,Relative humidity [%],80000[Pa] ISBL="Isobaric surface"
317,Total cloud cover [%],80000[Pa] ISBL="Isobaric surface"
318,Vertical velocity (pressure) [Pa/s],80000[Pa] ISBL="Isobaric surface"
319,Verical velocity (geometric) [m/s],80000[Pa] ISBL="Isobaric surface"
320,u-component of wind [m/s],80000[Pa] ISBL="Isobaric surface"
321,v-component of wind [m/s],80000[Pa] ISBL="Isobaric surface"
322,Absolute vorticity [1/s],80000[Pa] ISBL="Isobaric surface"
323,Cloud mixing ratio [kg/kg],80000[Pa] ISBL="Isobaric surface"
324,Ice water mixing ratio [kg/kg],80000[Pa] ISBL="Isobaric surface"
325,Rain mixing ratio [kg/kg],80000[Pa] ISBL="Isobaric surface"
326,Snow mixing ratio [kg/kg],80000[Pa] ISBL="Isobaric surface"
327,Graupel (snow pellets) [kg/kg],80000[Pa] ISBL="Isobaric surface"
328,Icing severity [-],80000[Pa] ISBL="Isobaric surface"
329,Geopotential height [gpm],85000[Pa] ISBL="Isobaric surface"
330,Temperature [C],85000[Pa] ISBL="Isobaric surface"
331,Relative humidity [%],85000[Pa] ISBL="Isobaric surface"
332,Total cloud cover [%],85000[Pa] ISBL="Isobaric surface"
333,Vertical velocity (pressure) [Pa/s],85000[Pa] ISBL="Isobaric surface"
334,Verical velocity (geometric) [m/s],85000[Pa] ISBL="Isobaric surface"
335,u-component of wind [m/s],85000[Pa] ISBL="Isobaric surface"
